annual_inc,loan_status,desc,open_acc,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,last_pymnt_d,last_credit_pull_d,bins
30000.0,0,7746,19,48,2247.21,2235.98,1509.91,19,17,1
147000.0,1,691,6,17,15112.76,14911.26,15000.0,7,3,1
36000.0,1,1,8,10,2354.9668269999997,2354.97,2000.0,14,14,0
50000.0,1,5518,9,27,20804.23002,20804.23,14000.0,71,76,1
294000.0,1,13195,11,21,12344.81177,12241.94,12000.0,8,8,1
65000.0,1,4365,13,23,7908.889997,7846.07,6525.0,63,71,1
94000.0,1,1084,11,37,9864.289537,9864.29,7800.0,44,76,0
42000.0,1,8944,7,22,20958.52894,20958.53,18825.0,38,38,2
40792.0,1,12361,12,14,3132.3938510000003,3132.39,2600.0,33,76,0
100000.0,1,13195,15,20,27679.645760000003,27299.05,20000.0,65,72,2
160000.0,1,3436,17,28,11390.62514,11390.63,10000.0,23,74,1
50000.0,1,13195,7,26,21635.81001,21635.81,18650.0,50,69,2
90000.0,0,14240,7,28,4962.3,4847.36,3646.48,7,76,2
75000.0,1,2240,8,26,13248.62625,13248.63,12000.0,37,37,1
51996.0,0,13195,5,7,5952.8,426.02,2800.25,31,76,3
84996.0,0,14627,9,12,12887.72,12538.86,9267.03,17,14,1
33600.0,1,13195,5,8,5713.170440999999,5713.17,4800.0,44,62,0
60000.0,0,554,3,7,1185.16,1185.16,744.97,24,35,0
67000.0,0,5894,12,25,815.31,815.31,210.87,23,76,1
72150.0,1,4485,22,44,14914.804830000001,14569.27,12700.0,42,68,1
50004.0,1,12240,14,17,6024.591303,5843.85,5000.0,23,75,0
49000.0,1,3448,8,15,3881.139035,3881.14,3500.0,38,72,0
93000.0,0,13195,9,25,25120.75,24652.03,12949.3,53,50,2
66996.0,1,13195,6,17,18896.830019999998,18419.9,14000.0,70,76,1
71316.0,0,11491,13,23,1151.2,1149.86,412.29,27,76,3
27396.0,1,16130,11,12,6116.141855,6116.14,5000.0,34,34,0
24000.0,1,13195,3,8,2515.507737,2515.51,2400.0,33,44,0
61000.0,1,13195,5,28,19338.282430000003,19338.28,14000.0,47,76,1
43260.0,1,13195,23,33,9416.29763,9416.3,7500.0,56,73,0
110000.0,1,13195,11,33,31623.493469999998,31623.49,25000.01,50,76,2
85000.0,1,3654,8,12,3661.044821,3661.04,3000.0,55,64,0
95000.0,1,2325,5,8,16436.13767,16406.79,14000.0,44,64,1
40000.0,1,16095,6,13,1425.972978,1282.31,1200.0,14,41,0
55000.0,0,13195,13,34,16411.59,16411.59,8656.94,68,76,1
66000.0,1,12198,7,23,6182.4201299999995,6182.42,5000.0,25,25,0
45000.0,1,13195,7,39,5085.12094,5085.12,5000.0,15,15,0
83000.0,1,5931,11,14,18854.73307,18854.73,16000.0,49,53,1
38400.0,1,12028,7,18,18315.29999,18006.84,14500.0,64,76,1
34000.0,1,13150,5,16,1117.6642550000001,279.31,1000.0,17,57,0
55000.0,1,1758,7,11,12090.13806,12090.14,10000.0,29,45,1
41000.0,1,5125,12,35,5739.71482,5739.71,5000.0,39,76,0
25800.0,1,2963,10,19,15588.83001,15588.83,11200.0,71,76,1
24000.0,1,5177,5,7,3219.5390850000003,3219.54,3000.0,33,69,0
87000.0,1,1292,20,48,29462.39703,28779.24,25000.0,39,75,2
65000.0,1,13195,10,16,16416.88,16416.88,14000.0,50,50,1
24000.0,1,13195,6,13,7589.592825,7589.59,6000.0,57,76,0
105000.0,0,7050,10,29,8036.64,8036.64,5948.79,44,76,1
65000.0,0,13195,10,12,4811.29,4798.87,3737.24,33,42,1
55000.0,1,13195,16,20,7456.186809000001,7425.12,6000.0,41,41,0
20000.0,1,15205,4,6,6018.257114999999,5958.07,5000.0,15,15,0
70000.0,1,13195,20,33,5655.285688,5600.38,5150.0,38,76,0
75000.0,1,65,19,29,15286.355280000002,15183.4,13000.0,31,76,1
16800.0,1,13195,3,10,5245.010349,5245.01,5000.0,18,18,0
54000.0,0,13195,10,19,8094.02,7546.48,7169.06,44,76,0
57600.0,1,13195,6,12,7717.839608,7687.21,6300.0,43,36,0
120000.0,1,15084,10,28,7375.495153,7314.03,6000.0,25,50,0
60000.0,1,13195,10,24,12926.14422,12926.14,10950.0,48,64,1
48000.0,1,8305,11,17,17284.55998,17284.56,12000.0,69,69,1
30000.0,1,3143,6,8,13801.893590000001,13801.89,12000.0,43,43,1
101000.0,1,13195,16,46,5817.079412,5817.08,5000.0,64,61,0
31200.0,1,13195,12,17,3608.83,3608.83,3000.0,50,75,0
18000.0,1,13195,13,25,14351.8436,13435.29,13000.0,35,72,1
39600.0,1,13195,9,27,10699.2747,10699.27,9000.0,52,76,0
50000.0,1,10229,5,26,6777.620171,5555.38,6475.0,14,28,1
32000.0,0,13195,7,10,1415.76,1403.01,862.71,9,53,0
66000.0,1,13195,3,16,10413.768890000001,10413.77,10000.0,31,68,1
105000.0,1,8674,9,18,15723.484219999998,15470.79,14000.0,44,74,1
42996.0,1,11651,3,3,14762.61059,14762.61,14400.0,27,29,1
121000.0,1,6008,8,24,21226.202080000003,21174.17,20400.0,19,19,2
85000.0,1,13195,14,26,22523.85985,22242.31,20000.0,37,76,2
80000.0,1,13195,15,31,13412.89321,13133.46,12000.0,55,76,1
35004.0,1,7610,4,7,10386.146690000001,10386.15,8150.0,59,53,0
115000.0,1,13195,18,43,11320.70407,11264.1,10000.0,33,26,1
140000.0,1,6508,8,18,8933.420127,8906.1,8175.0,55,76,0
140000.0,1,5904,8,18,19326.93999,18961.9,15025.0,68,76,2
60000.0,1,13195,3,8,8335.090001999999,8335.09,7000.0,50,71,0
115000.0,1,7688,17,33,17321.78513,17321.79,16800.0,30,29,1
60000.0,1,3720,13,35,17206.09804,17174.23,13500.0,76,76,1
62000.0,1,1199,4,25,18269.68,18269.68,12000.0,64,64,1
75996.0,1,13195,12,26,3820.8609229999997,3820.86,3500.0,34,76,0
45000.0,1,1,4,4,4989.353846,4989.35,4000.0,43,76,0
101138.0,1,1441,14,20,25036.82145,25006.29,20500.0,43,76,2
72000.0,1,14528,12,26,11896.18172,11896.18,10000.0,31,76,1
154008.0,1,12631,19,37,11305.770629999999,11165.32,9600.0,25,76,1
90301.0,1,14118,12,17,18318.17478,13902.63,15000.0,29,76,1
70000.0,0,13195,16,40,16632.6,16567.03,7857.03,42,46,3
55000.0,0,3123,8,23,18512.99,18488.04,11635.42,58,67,2
42000.0,0,8018,8,22,8549.69,7042.68,4891.18,25,76,2
70000.0,1,13947,12,36,2236.234458,2236.23,2000.0,35,76,0
70000.0,1,13195,5,12,17791.3446,17791.34,14000.0,50,76,1
66000.0,1,10536,17,39,16118.157780000001,16118.16,15575.0,31,49,1
60000.0,1,13195,7,29,41006.518280000004,30012.82,35000.0,49,49,3
30000.0,1,8925,3,5,12156.7424,12156.74,9250.0,40,48,1
20000.0,1,15797,10,12,8229.796499,6922.17,6800.0,25,68,0
16000.0,1,14974,4,19,5744.245514,5136.39,4725.0,30,60,0
42000.0,1,12352,13,27,12681.26743,11595.82,11975.0,8,64,1
178650.0,1,13195,11,27,22228.18533,22228.19,20000.0,59,59,2
65000.0,1,13195,6,15,8220.697524,8220.7,7000.0,47,76,0
75000.0,1,13195,8,18,6841.612675,6841.61,5000.0,49,76,0
55000.0,1,7938,4,16,7346.921452,7346.92,6500.0,43,43,0
75000.0,1,13195,9,13,23280.24364,23280.24,20000.0,37,37,2
65000.0,1,5422,11,23,17736.87096,17441.26,15000.0,36,72,1
60000.0,1,13195,6,21,9009.464925,8840.54,8000.0,37,62,0
75000.0,1,4512,11,17,33681.87995,33645.58,23200.0,74,73,2
